847 9215
678 328 25181
390 344 16901
296 505 16936
187 248 23191
77 629 29529
702 211 13330
554 273 25527
208 539 29047
225 665 4416
229 94 11148
119 399 11211
200 261 22562
525 410 7469
357 42 31651
508 90 18367
183 234 23682
579 792 15895
833 445 18533
824 73 26697
767 796 18714
451 824 18971
162 239 31677
213 258 15074
646 105 9885
606 131 11019
180 54 15025
820 198 23670
540 506 13262
732 645 2614
747 11 22231
490 329 12620
155 634 12185
25 714 20344
431 664 30744
619 369 20023
51 479 20850
342 114 16261
406 136 31401
63 411 24318
13 14 3053
654 439 17777
432 641 15685
845 260 13832
364 321 30111
665 73 13187
345 410 23471
845 677 29003
344 800 29747
717 839 1851
417 776 4455
707 23 24693
275 653 1487
270 801 31905
100 43 16555
719 729 6236
361 191 17577
834 799 31951
688 716 22960
181 582 24483
82 562 228
109 32 13249
70 446 7713
184 205 24749
781 213 3247
644 81 22875
111 155 31960
265 199 19654
731 182 5792
448 824 31163
309 217 475
470 508 23695
327 533 11853
602 171 18624
819 646 5785
332 321 22954
219 628 20268
762 562 19674
716 240 3685
10 319 7590
826 49 3500
758 695 27923
129 111 15155
809 122 12845
130 101 17043
305 197 11869
449 36 1681
318 280 32363
677 278 20634
635 523 11294
580 462 19175
459 477 11712
655 55 24646
584 325 6137
118 359 26866
598 129 15274
206 693 11785
271 470 19678
564 722 21885
588 717 20716
813 393 18072
301 831 16723
334 384 7010
594 732 24066
468 78 19854
613 146 25860
11 501 3520
403 637 7881
286 322 10818
573 80 13705
182 287 9854
578 32 29546
800 481 14052
735 598 5750
326 361 19711
151 352 14983
581 634 19934
443 161 14504
102 696 294
489 311 6313
314 518 20841
601 352 7374
54 512 9869
536 285 22760
499 255 2413
808 552 32053
241 813 27648
220 367 21211
629 734 29598
598 365 10968
42 365 2879
448 269 449
512 210 25043
667 657 10663
302 551 23797
707 806 14576
831 703 681
741 800 6166
523 30 31987
177 314 8574
229 582 12376
450 75 11753
214 494 31408
652 760 27950
461 97 8660
664 142 24126
493 114 20997
241 279 27293
66 121 23079
103 591 26842
391 581 10276
563 350 26285
180 531 29197
195 161 26296
821 454 2265
247 360 1840
598 235 6097
27 399 7631
269 52 8197
686 527 2776
240 479 24934
285 150 10274
589 219 11095
401 222 6750
777 240 19657
363 157 14861
514 144 8267
844 115 5872
242 759 2709
493 548 5070
826 496 17000
414 53 4576
341 67 28391
225 531 27218
114 264 9653
583 509 22923
446 598 9331
70 815 21313
785 777 22908
152 213 18310
615 108 32231
624 715 75
587 512 14146
428 168 15375
459 305 383
665 823 21940
284 157 4613
534 55 29362
393 522 2793
620 363 10269
780 646 16823
265 671 7226
481 385 8026
569 412 11668
788 585 18171
523 412 27098
749 745 20465
812 740 28127
325 1 798
214 191 30107
562 73 17995
795 762 15876
60 686 16472
548 452 13320
58 5 22374
325 445 4891
570 464 1603
534 552 23319
774 34 14522
476 290 14424
434 166 30363
646 100 27227
756 789 13205
74 468 13395
656 234 11832
578 785 16488
400 622 29367
123 557 27034
4 398 26184
117 632 27013
641 235 17966
214 798 15992
820 332 20944
697 787 5015
427 381 31090
715 192 22534
519 132 29540
41 576 21325
302 686 6083
327 71 13427
364 153 26405
12 747 9864
124 485 15042
385 742 12432
729 828 23803
64 846 24589
80 6 16206
659 420 17566
683 307 16148
111 122 26733
160 210 31905
53 674 1115
555 610 16540
845 314 51
15 158 22954
449 596 11849
781 643 20670
420 339 28494
14 672 23724
739 588 22081
518 9 11738
624 395 19905
23 270 4375
684 280 30520
712 61 5383
303 685 20874
759 391 24485
344 115 30800
123 665 18891
512 83 19919
360 429 13496
671 231 28962
314 137 29208
400 838 20303
32 762 4339
844 253 14665
392 316 650
139 785 519
725 235 24599
567 654 3889
89 154 14047
638 820 19490
671 72 12831
399 259 25121
709 267 21174
186 15 18982
132 420 12958
157 276 2951
461 449 9867
814 496 6236
16 228 31319
701 71 898
645 108 5363
294 90 5503
762 380 5917
579 364 23733
467 771 5139
604 733 2728
644 711 26092
755 424 4938
126 349 26470
365 110 25721
304 148 6984
549 616 31555
338 59 3503
663 820 27016
665 251 5590
139 378 23048
136 35 7995
309 829 6670
771 34 22328
298 675 30509
231 140 6235
660 514 9424
530 363 16173
28 129 12420
380 166 19489
697 805 7500
140 465 25832
159 291 23907
205 308 31578
372 569 24359
768 490 10927
508 271 3381
718 714 19403
223 93 19158
783 660 26551
155 827 27974
